"feedback_id","lesson_id","content"
23,55,피드백 등록 테스트
24,55,피드백 수정 테스트 22222
28,57,피드백 수정 테스트 22222
51,58,피드백 등록 히히
53,62,피드백이 수정되었습니다.
56,111,안녕하세요. 강습 피드백입니다!!
57,148,안녕하세요. 지난번 강습에 대한 피드백입니다.
58,150,안녕하세요. 강습 피드백입니다! 회원 님께서 지난 번 강습 때 촬영하였던 영상입니다! 
65,82,안녕하세요. 강습 피드백입니다! 회원 님께서 지난 번 강습 때 촬영하였던 영상입니다! 
66,59,"안녕하세요. 오늘 강습은 잘 받으셨나요? 금일 함께 연습했던 기술들에 대해서 간단하게 설명드리고, 그에 대한 피드백을 드리고자 합니다!"
68,63,"안녕하세요. 오늘 강습은 잘 받으셨나요? 금일 함께 연습했던 기술들에 대해서 간단하게 설명드리고, 그에 대한 피드백을 드리고자 합니다!"
69,64,"안녕하세요. 오늘 강습은 잘 받으셨나요? 금일 함께 연습했던 기술들에 대해서 간단하게 설명드리고, 그에 대한 피드백을 드리고자 합니다!"
70,68,안녕하세요. 오늘 강습은 잘 받으셨나요? 아이들이 잘 따라와줘서 무사히 강습을 끝낼 수 있었던 것 같아요 ㅎㅎ 아래는 강습 피드백과 강습 사진들입니다. 아이들에게 즐거운 추억으로 
71,85,안녕하세요. 오늘 강습은 잘 받으셨나요? 피드백 받아가세요!
72,97,안녕하세요. 오늘 정말 뜻깊은 강습이었습니다. 피드백 받아가세요!
73,100,"안녕하세요. 오늘 강습은 잘 받으셨나요? 금일 함께 연습했던 기술들에 대해서 간단하게 설명드리고, 그에 대한 피드백을 드리고자 합니다!"
74,101,"안녕하세요. 오늘 강습은 잘 받으셨나요? 금일 함께 연습했던 기술들에 대해서 간단하게 설명드리고, 그에 대한 피드백을 드리고자 합니다!"
75,104,"안녕하세요. 오늘 강습은 잘 받으셨나요? 금일 함께 연습했던 기술들에 대해서 간단하게 설명드리고, 그에 대한 피드백을 드리고자 합니다!"
76,105,"안녕하세요. 오늘 강습은 잘 받으셨나요? 금일 함께 연습했던 기술들에 대해서 간단하게 설명드리고, 그에 대한 피드백을 드리고자 합니다!"
77,106,"안녕하세요. 오늘 강습은 잘 받으셨나요? 금일 함께 연습했던 기술들에 대해서 간단하게 설명드리고, 그에 대한 피드백을 드리고자 합니다!"
78,107,안녕하세요.  오늘 강습은 즐거우셨나요? 강습 피드백 영상과 사진을 올려두었습니다. 다음 번에도 강습을 원하신다면 얼마든지 불러주세요!
79,109,안녕하세요. 오늘 강습은 즐거우셨나요? 강습 피드백 영상과 사진을 올려두었습니다. 다음 번에도 강습을 원하신다면 얼마든지 불러주세요!
80,110,안녕하세요. 오늘 강습은 즐거우셨나요? 강습 피드백 영상과 사진을 올려두었습니다. 다음 번에도 강습을 원하신다면 얼마든지 불러주세요!
81,138,안녕하세요. 오늘 강습은 즐거우셨나요? 강습 피드백 영상과 사진을 올려두었습니다. 다음 번에도 강습을 원하신다면 얼마든지 불러주세요!
