"instructor_id","description","is_instruct_available","dayoff"
15,안녕하세요. 강사입니다,"1110101",0
24,선생님입니다,"1110101",0
25,더미 강사1입니다,"1110101",0
26,더미 강사2입니다,"1110101",0
34,사실 강사가 아닌데 그냥 더미 강사,"1110101",0
42,장원영 강사입니다.,"1111111",0
44,안유진 강사입니다. 다들 이름 부르는데 저는 왜 성까지 같이 부르나요,"1110110",0
45,가을입니다. 다 저랑 비슷하게 생겼어요 껄껄,"1111001",0
46,안녕하세요. 레이입니다. 오사카에서 왔습니다. 잘 부탁드립니다.,"1110101",0
47,리즈 강사입니다. 솔직히 통닭천사님 닮았습니다.,"1110101",0
48,안녕하세요. 카리나 강사입니다. 이재욱 씨랑 헤어졌어요,"1111111",0
49,강사 윈터입니다. 경상도에서 와서 서울 말이 서툽니다.,"1111101",0
50,안녕하세요. 하얼빈에서 온 닝닝 강사입니다.,"1110101",0
51,지젤 강사입니다. 닝닝이랑 많이 헷갈립니다.,"1110101",0
52,안녕하세요. 민지 강사입니다. 이 팀의 리더입니다. 기강은 제가 잡습니다.안녕하세요. 민지 강사입니다. 이 팀의 리더입니다. 기강은 제가 잡습니다.안녕하세요. 민지 강사입니다. 이 팀의 리더입니다. 기강은 제가 잡습니다.안녕하세요. 민지 강사입니다. 이 팀의 리더입니다. 기강은 제가 잡습니다.안녕하세요. 민지 강사입니다. 이 팀의 리더입니다. 기강은 제가 잡습니다.안녕하세요. 민지 강사입니다. 이 팀의 리더입니다. 기강은 제가 잡습니다.,"1111111",0
53,해린 강사입니다. 혜린으로 헷갈리시는데 해린이 맞습니다. 리액션이 버거우면 버거먹어요.,"1110101",0
54,강사 혜인입니다. 제가 막내입니다.,"1110101",0
55,다니엘입니다. 한국 이름은 모지혜에요. 오 드라이브 스루,"1111001",0
56,안녕하세요. 팜 하니 강사입니다. 저 아시죠? 개추 드립니다.,"1110110",0
57,"안녕하세요. 제이크 강사입니다. LA에서 왔구요, 본명은 류현진입니다.","1111111",0
58,한화이글스 팀 문동주 강사입니다. 만년 유망주입니다. 내년에는 터질겁니다,"1110101",0
59,이글스 팀의 노시환 강사입니다. 한화 이글스 팀 폼 미쳤다이,"1110101",0
60,한화 이글스 하지원 강사입니다.,"1110110",0
61,한화 이글스 김나연 강사입니다.,"1111001",0
62,안녕하세요. SGG 팀 강사 김광현입니다.,"1110110",0
63,안녕하세요. SSG 팀 강사 최정입니다. 궁내 채고 3루수입니다.,"1111111",0
64,강사 추신수입니다. 미스터 추 입술 위에 추,"1110101",0
65,SSG 팀 강사 최지훈입니다. 김강민을 잇는 차세대 외야수입니다.,"1110101",0
66,롯데 팀 강사 박세웅입니다. 안경 쓴 우완 에이스입니다.,"1110110",0
67,강사 소개입니다. 나중에 바꾸어야 합니다,"1110101",0
68,강사 소개입니다. 나중에 바꾸어야 합니다,"1110101",0
69,안녕하세요. 강사 김태형입니다. 튼튼합니다.,"1111111",0
70,맨유 팀 강사 바란입니다. 나올 때는 곧 잘하는데 자주 아픕니다. ,"1110101",0
71,안녕하세요. 브루노 페란 강사입니다. 팀에 제대로 된 강사가 저 말고 몇 없습니다.,"1110101",0
