"lesson_id","basic_fee","designated_fee","people_option_fee","level_option_fee","coupon_id"
55,160000,0,10000,0,
62,160000,0,10000,0,
63,160000,0,10000,0,
64,160000,0,10000,0,
68,160000,0,10000,0,
82,160000,0,0,0,
85,160000,0,0,0,
86,160000,0,0,0,
87,160000,0,0,0,
88,160000,0,0,0,
97,170000,0,0,0,
100,170000,0,0,0,
101,170000,0,0,0,
104,170000,0,0,0,
105,160000,0,0,0,
107,160000,0,0,0,
109,160000,0,0,0,
110,160000,0,0,0,
111,160000,0,0,0,
112,160000,0,0,0,
117,160000,0,0,0,
118,170000,0,10000,0,
119,160000,0,0,0,
135,160000,0,0,0,
138,160000,0,0,0,
140,160000,0,0,0,
147,60000,0,0,0,
148,50000,30000,20000,20000,
150,50000,30000,30000,30000,
151,50000,30000,20000,20000,
152,60000,30000,20000,20000,
153,60000,0,0,0,
154,50000,30000,20000,20000,
155,60000,0,0,0,
156,50000,30000,30000,30000,
157,60000,0,0,0,
158,70000,30000,20000,20000,
159,50000,30000,20000,20000,
160,50000,0,0,0,
161,70000,0,0,0,
162,70000,0,0,0,
163,70000,0,0,0,
164,50000,0,0,0,
165,50000,0,0,0,
166,70000,0,0,0,
167,70000,0,0,0,
168,70000,0,0,0,
169,50000,0,0,0,
170,70000,0,0,0,
171,50000,0,0,0,
172,70000,0,0,0,
173,50000,0,0,0,
174,70000,0,0,0,
175,70000,0,0,0,
176,75000,0,5000,0,
177,50000,0,0,0,
178,55000,40000,20000,20000,
179,75000,50000,30000,30000,
180,70000,30000,0,0,
182,70000,50000,0,0,
184,200000,50000,120000,120000,
185,140000,50000,60000,60000,
186,100000,50000,60000,60000,
187,100000,40000,0,0,
188,100000,40000,40000,40000,
189,200000,50000,120000,120000,
192,140000,40000,120000,120000,
193,140000,40000,120000,120000,
194,140000,30000,120000,120000,
195,140000,30000,120000,120000,
196,140000,30000,120000,120000,
197,140000,30000,120000,120000,
198,70000,0,0,0,
199,140000,30000,0,0,
200,300000,40000,180000,180000,
201,140000,0,0,0,
202,140000,0,0,0,
203,140000,0,0,0,
204,140000,0,0,0,
205,140000,0,0,0,
206,140000,0,0,0,
207,140000,30000,0,0,
208,120000,0,20000,0,
209,140000,30000,0,0,
211,100000,40000,0,0,
212,120000,50000,40000,40000,
213,100000,30000,0,0,
214,140000,0,20000,0,
215,120000,40000,60000,60000,
216,100000,40000,0,0,
217,100000,0,0,0,
218,110000,0,10000,0,
219,140000,0,0,0,
220,50000,0,0,0,
221,100000,40000,0,0,
