"notification_id","notification_type","title","content","image_url","is_read","receiver_id","sender_id","created_at","device_type"
88,4,테스트,"{""receiverId"":25,""createdAt"":""2024-05-06T15:49:13.8904132"",""notificationType"":9,""deviceType"":""MOBILE"",""title"":""새로운 팀 수정에서 팀 초대 요청이 왔습니다."",""teamId"":19}",,1,14,15,"2024-05-02 14:53:49.027235",MOBILE
89,3,테스트 제목 ,테스트 내용 ,,1,14,,"2024-05-02 15:19:32.179213",MOBILE
90,3,테스트 제목 ,테스트 내용 ,,1,14,,"2024-05-02 15:19:41.032655",MOBILE
91,3,테스트 제목 ,테스트 내용 ,,1,14,14,"2024-05-03 08:19:56.516882",MOBILE
93,5,테스트 팀 2222에서 팀 초대 요청이 왔습니다.,"19",,1,14,,"2024-05-03 08:23:28.091728",MOBILE
96,8,테스트 강습에서 피드백이 등록되었습니다.,"",,0,1,,"2024-05-03 10:45:28.458065",MOBILE
97,3,테스트 제목 ,테스트 내용 ,,0,25,14,"2024-05-03 13:45:37.558891",MOBILE
119,8,테스트 강습에서 피드백이 등록되었습니다.,,,0,25,,"2024-05-06 15:39:19.819435",MOBILE
120,8,테스트 강습에서 피드백이 등록되었습니다.,,,0,25,,"2024-05-06 15:40:30.220079",MOBILE
121,8,테스트 강습에서 피드백이 등록되었습니다.,,,0,25,,"2024-05-06 15:41:45.975667",MOBILE
363,7,강습이 예약되었습니다,"{""detail"":""5월 7일 18시 50분 승호리조트\n1:2 강습이 예약되었습니다"",""lessonDate"":""2024-05-07"",""lessonTime"":""18:50 ~ 22:50"",""resortName"":""승호리조트"",""studentCount"":""2"",""lessonType"":""스키""}",,1,34,,"2024-05-07 18:09:30.119720",MOBILE
364,9,dm 테스트 제목,dm 테스트 내용,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/cb2f2b90-2a01-4739-a2ed-049080ce80c6.jpg,1,34,14,"2024-05-08 08:08:02.667967",MOBILE
377,9,dm 테스트 제목,dm 테스트 내용,,1,37,14,"2024-05-08 10:37:39.814129",MOBILE
382,8,선생님 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":62}",,1,37,,"2024-05-08 14:47:40.574442",MOBILE
