"notification_setting_id","user_id","notification_type_id","notification_status"
7,24,2,0
8,24,3,0
9,24,4,0
10,24,5,0
11,24,6,1
12,25,2,1
13,25,3,1
14,25,4,1
15,25,5,1
16,25,6,1
17,26,2,1
18,26,3,1
19,26,4,1
20,26,5,1
21,26,6,1
22,15,7,1
23,15,8,1
24,15,9,1
25,14,7,1
26,14,8,1
27,14,9,1
34,34,7,1
35,34,8,1
36,34,9,1
37,37,7,1
38,37,8,1
39,37,9,1
56,35,7,1
57,35,8,1
58,35,9,1
144,113,2,1
145,113,3,1
146,113,4,1
147,113,5,1
148,113,6,1
152,124,2,1
153,124,3,1
154,124,4,1
155,124,5,1
156,124,6,1
157,113,9,1
158,124,9,1
159,125,2,1
160,125,3,1
161,125,4,1
162,125,5,1
163,125,6,1
164,125,9,1
165,126,2,1
166,126,3,1
167,126,4,1
168,126,5,1
169,126,6,1
170,126,9,1
171,127,7,1
172,127,8,1
173,127,9,1
174,128,7,1
175,128,8,1
176,128,9,1
177,129,7,1
178,129,8,1
179,129,9,1
180,130,7,1
181,130,8,1
182,130,9,1
183,131,2,1
184,131,3,1
185,131,4,1
186,131,5,1
187,131,6,1
188,131,9,1
189,133,2,1
190,133,3,1
191,133,4,1
192,133,5,1
193,133,6,1
194,133,9,1
195,134,2,1
196,134,3,1
197,134,4,1
198,134,5,1
199,134,6,1
200,134,9,1
201,135,2,1
202,135,3,1
203,135,4,1
204,135,5,1
205,135,6,1
206,135,9,1
207,136,2,1
208,136,3,1
209,136,4,1
210,136,5,1
211,136,6,1
212,136,9,1
213,137,2,1
214,137,3,1
215,137,4,1
216,137,5,1
217,137,6,1
218,137,9,1
