"payment_id","lesson_id","total_amount","payment_status","charge_id","payment_date","tid","payback_date"
26,55,170000,0,0,"2024-05-02 00:00:00",T63330384510678b5c2e,
29,62,170000,0,0,"2024-05-07 00:00:00",T639d07029fd342c999e,
30,63,170000,0,0,"2024-05-07 00:00:00",T639d10b29fd342c99a7,
31,64,170000,0,0,"2024-05-07 00:00:00",T639d144257c75a528a2,
35,68,170000,0,0,"2024-05-07 00:00:00",T639e74929fd342c9ab4,
47,82,160000,0,0,"2024-05-08 00:00:00",T63ac41629fd342c9d06,
49,85,160000,0,0,"2024-05-08 12:30:54.439541",T63af0b5257c75a52d6a,
50,86,160000,0,0,"2024-05-08 12:52:06.918910",T63af6b7257c75a52d7c,
51,87,160000,0,0,"2024-05-08 12:55:34.832126",T63af788257c75a52d80,
55,88,160000,0,0,"2024-05-08 13:23:22.319679",T63afdff257c75a52dad,
64,88,80000,2,2,"2024-05-08 13:23:22.319679",T63afdff257c75a52dad,"2024-05-08 13:54:36.650453"
73,97,170000,0,0,"2024-05-08 15:26:43.376021",T63b1ae8257c75a52eaf,
76,100,170000,0,0,"2024-05-08 15:42:06.137647",T63b1e4a29fd342c9fd9,
77,101,170000,0,0,"2024-05-09 10:09:32.527808",T63c2213257c75a5320f,
80,104,170000,0,0,"2024-05-09 10:14:48.473144",T63c235429fd342ca34a,
81,86,80000,2,2,"2024-05-08 12:52:06.918910",T63af6b7257c75a52d7c,"2024-05-09 12:58:54.095464"
86,105,160000,0,0,"2024-05-09 13:27:45.453659",T63c508e29fd342ca473,
87,107,160000,0,0,"2024-05-09 17:34:12.760152",T63c8a52257c75a53550,
89,109,960000,0,0,"2024-05-10 16:05:16.366761",T63dc642257c75a53bc3,
90,138,160000,0,0,"2024-05-13 13:31:13.836547",T6419766257c75a546f3,
91,140,160000,0,0,"2024-05-13 13:36:08.519022",T641988b29fd342cb818,
92,147,60000,0,0,"2024-05-13 14:20:57.188798",T641a323257c75a54771,
93,148,120000,0,0,"2024-05-13 14:41:01.610919",T641a7da29fd342cb8a6,
95,150,140000,0,0,"2024-05-13 14:43:20.693642",T641a86529fd342cb8aa,
96,151,120000,0,0,"2024-05-13 15:04:47.105948",T641ad6d257c75a547ce,
97,152,130000,0,0,"2024-05-13 15:06:41.061075",T641ade0257c75a547e0,
98,153,60000,0,0,"2024-05-13 15:23:28.399724",T641b1ce29fd342cb922,
99,154,120000,0,0,"2024-05-13 15:37:39.109937",T641b51f257c75a548b6,
100,155,60000,0,0,"2024-05-13 16:01:19.259457",T641baad29fd342cb9fd,
101,156,140000,0,0,"2024-05-13 16:20:31.550258",T641bf29257c75a54920,
102,155,60000,2,1,"2024-05-13 16:01:19.259457",T641baad29fd342cb9fd,"2024-05-13 16:23:26.788703"
103,157,60000,0,0,"2024-05-13 17:02:09.555068",T641c8ed257c75a54978,
104,158,140000,0,0,"2024-05-13 17:11:42.718899",T641cb2a257c75a54987,
105,159,120000,0,0,"2024-05-13 17:13:16.247303",T641cb8829fd342cba95,
106,160,50000,0,0,"2024-05-14 10:42:23.097455",T642c16e29fd342cc1a9,
107,161,70000,0,0,"2024-05-14 13:51:37.990632",T642edcf257c75a55332,
108,162,70000,0,0,"2024-05-14 14:40:37.462301",T642f943257c75a554ca,
109,163,70000,0,0,"2024-05-14 14:41:48.051444",T642f98d29fd342cc5c4,
110,164,50000,0,0,"2024-05-14 14:43:22.787936",T642f9eb257c75a554d3,
111,165,50000,0,0,"2024-05-14 14:46:05.432438",T642fa3f257c75a554d9,
112,166,70000,0,0,"2024-05-14 14:47:49.820721",T642fae829fd342cc5d1,
113,167,70000,0,0,"2024-05-14 14:49:18.809680",T642fb51257c75a554e2,
114,168,70000,0,0,"2024-05-14 14:59:03.870951",T642fd86257c75a554fb,
115,169,50000,0,0,"2024-05-14 15:01:29.911483",T642fe2c29fd342cc5f0,
116,170,70000,0,0,"2024-05-14 15:03:04.350544",T642fe8e29fd342cc5f8,
117,171,50000,0,0,"2024-05-14 15:08:32.667344",T642ffc9257c75a55515,
118,172,70000,0,0,"2024-05-14 15:13:59.919740",T643011a257c75a5551d,
119,173,50000,0,0,"2024-05-14 15:14:58.803237",T6430152257c75a5551f,
120,174,70000,0,0,"2024-05-14 15:17:10.298768",T64301d929fd342cc619,
121,175,70000,0,0,"2024-05-14 16:56:37.435178",T643192a257c75a55a24,
122,176,80000,0,0,"2024-05-14 17:59:17.203254",T64327da257c75a55d86,
123,177,50000,0,0,"2024-05-14 21:26:00.848146",T643584c29fd342ccf00,
124,178,135000,0,0,"2024-05-15 12:55:38.572344",T644323029fd342cd078,
125,179,185000,0,0,"2024-05-15 12:56:29.562745",T6443264257c75a55fa3,
126,180,100000,0,0,"2024-05-15 14:24:22.894122",T64446ed257c75a55fbc,
128,182,120000,0,0,"2024-05-15 14:28:35.354851",T64447ea29fd342cd08d,
130,184,490000,0,0,"2024-05-15 14:45:00.386237",T6444ba8257c75a55fcf,
131,185,310000,0,0,"2024-05-15 15:10:42.625726",T64451cb257c75a55fda,
132,186,270000,0,0,"2024-05-15 15:13:40.944327",T6445282257c75a55fdd,
133,187,140000,0,0,"2024-05-16 01:42:20.673331",T644e5d3257c75a5616a,
134,188,220000,0,0,"2024-05-16 01:43:47.416316",T644e631257c75a5616b,
135,189,490000,0,0,"2024-05-16 08:18:27.383867",T6454273257c75a561b9,
138,198,70000,0,0,"2024-05-16 08:41:22.416977",T6454810257c75a561bf,
139,199,170000,0,0,"2024-05-16 08:44:07.345499",T64548b829fd342cd281,
140,200,700000,0,0,"2024-05-16 08:55:34.786688",T6454b6d257c75a561c9,
141,201,140000,0,0,"2024-05-16 09:28:12.169099",T645530729fd342cd32e,
142,202,140000,0,0,"2024-05-16 09:29:56.821719",T645536e257c75a5627a,
143,203,140000,0,0,"2024-05-16 09:31:38.386691",T64553d829fd342cd333,
144,204,140000,0,0,"2024-05-16 09:32:44.596533",T645541c257c75a56282,
145,205,140000,0,0,"2024-05-16 09:33:55.274223",T645545f257c75a5628a,
146,206,140000,0,0,"2024-05-16 09:35:19.585301",T64554b429fd342cd341,
147,207,170000,0,0,"2024-05-16 09:39:20.111850",T64555a7257c75a5629e,
148,208,140000,0,0,"2024-05-16 09:57:40.371726",T64559fa29fd342cd37f,
149,209,170000,0,0,"2024-05-16 09:59:24.562205",T6455a5729fd342cd385,
150,175,70000,2,1,"2024-05-14 16:56:37.435178",T643192a257c75a55a24,"2024-05-16 12:32:46.005313"
151,211,140000,0,0,"2024-05-16 12:32:51.838163",T6457e5129fd342cd5b6,
152,212,250000,0,0,"2024-05-16 12:34:12.292667",T6457eab257c75a564ff,
153,212,250000,2,1,"2024-05-16 12:34:12.292667",T6457eab257c75a564ff,"2024-05-16 12:35:35.639593"
154,211,140000,2,1,"2024-05-16 12:32:51.838163",T6457e5129fd342cd5b6,"2024-05-16 12:35:48.037206"
155,213,130000,0,0,"2024-05-16 12:37:17.514371",T6457f60257c75a56505,
156,214,160000,0,0,"2024-05-16 12:40:42.675091",T6458031257c75a56511,
157,215,280000,0,0,"2024-05-16 12:41:45.697167",T6458067257c75a56513,
158,216,140000,0,0,"2024-05-16 12:43:38.334188",T64580e1257c75a56516,
172,217,100000,0,0,"2024-05-16 12:45:52.875720",T645816729fd342cd5ce,
173,218,120000,0,0,"2024-05-16 12:47:11.732762",T64581b629fd342cd5d0,
174,219,140000,0,0,"2024-05-16 12:47:15.988548",T64581ba257c75a56519,
175,220,50000,0,0,"2024-05-16 12:48:59.983534",T645822229fd342cd5d6,
176,221,140000,0,0,"2024-05-16 12:56:30.224461",T64583de29fd342cd5e0,
