"team_instructor_id","invite_permission","add_permission","modify_permission","delete_permission","cost_permission","position","designated_cost"
90,0,0,0,0,0,2,50000
91,0,0,0,0,0,3,40000
92,0,0,0,0,0,3,40000
93,0,0,0,0,0,4,30000
94,0,0,0,0,0,4,30000
95,0,0,0,0,0,2,50000
96,0,0,0,0,0,3,40000
97,0,0,0,0,0,4,30000
98,0,0,0,0,0,4,30000
99,0,0,0,0,0,2,50000
100,0,0,0,0,0,3,40000
101,0,0,0,0,0,3,40000
102,0,0,0,0,0,4,30000
103,0,0,0,0,0,4,30000
104,0,0,0,0,0,2,50000
105,0,0,0,0,0,4,30000
106,0,0,0,0,0,4,30000
107,0,0,0,0,0,3,40000
108,0,0,0,0,0,3,40000
109,0,0,0,0,0,3,40000
110,0,0,0,0,0,2,50000
111,0,0,0,0,0,4,30000
112,0,0,0,0,0,4,30000
113,0,0,0,0,0,3,40000
114,0,0,0,0,0,4,30000
115,0,0,0,0,0,4,30000
116,0,0,0,0,0,2,50000
117,0,0,0,0,0,4,30000
118,0,0,0,0,0,4,30000
119,0,0,0,0,0,2,50000
120,0,0,0,0,0,3,40000
121,0,0,0,0,0,2,50000
122,0,0,0,0,0,3,40000
123,0,0,0,0,0,4,30000
124,0,0,0,0,0,2,50000
125,0,0,0,0,0,3,40000
126,0,0,0,0,0,4,30000
127,0,0,0,0,0,4,30000
128,0,0,0,0,0,4,30000
132,0,0,0,0,0,4,30000
133,0,0,0,0,0,4,30000
134,0,0,0,0,0,4,30000
137,0,0,0,0,0,2,50000
138,0,0,0,0,0,3,40000
139,0,0,0,0,0,3,40000
140,0,0,0,0,0,4,30000
141,0,0,0,0,0,4,30000
142,0,0,0,0,0,2,50000
143,0,0,0,0,0,3,40000
144,0,0,0,0,0,3,40000
145,0,0,0,0,0,4,30000
146,0,0,0,0,0,4,30000
148,1,1,1,1,1,2,40000
