"review_id","lesson_id","contents","rating","created_at"
7,63,명강사입니다,4,"2024-05-09 11:33:42.629353"
8,63,저한테 알맞은 강의를 제공해주셨어요,4,"2024-05-09 12:33:42.629353"
9,63,최고에요,4,"2024-05-09 12:43:42.629353"
10,63,잘 가르쳐줘요,4,"2024-05-10 12:43:42.629353"
11,63,친절해요,3,"2024-05-10 12:53:42.629353"
12,63,다음에도 다시 수강하고 싶네요 ^^,3,"2024-05-09 13:43:42.629353"
13,63,정말 좋으신 분이었습니다,3,"2024-05-09 13:33:52.629353"
14,63,명강사입니다,3,"2024-05-11 13:33:42.629353"
15,63,좋은 강습이었어요,3,"2024-05-12 13:33:42.629353"
16,63,다음에도 다시 수강하고 싶네요 ^^,3,"2024-05-13 13:33:42.629353"
17,63,명강사입니다,5,"2024-05-14 13:33:42.629353"
18,97,좋아요,3,"2024-05-09 13:13:42.629353"
19,97,최고에요,4,"2024-05-09 13:14:42.629353"
20,97,잘 가르쳐줘요,5,"2024-05-09 13:15:42.629353"
21,97,그냥 그래요,2,"2024-05-09 13:33:42.629353"
22,105,좋아용,5,"2024-05-09 15:05:54.660633"
23,64,잘 가르쳐줘요,5,"2024-05-09 15:51:27.783769"
24,68,잘 가르쳐줘요,4,"2024-05-09 15:56:14.127556"
25,82,좋아용,3,"2024-05-09 17:35:33.129005"
26,85,좋아용,3,"2024-05-10 17:51:12.231013"
27,109,잘 가르쳐줘요,4,"2024-05-13 10:49:48.583227"
28,109,대단히 만족스러워요,4,"2024-05-13 10:49:48.602118"
29,110,친절해요,4,"2024-05-13 10:49:48.621115"
30,110,명강사입니다,5,"2024-05-13 11:20:02.660629"
31,111,최고에요,5,"2024-05-13 11:20:02.680859"
32,111,또 듣고 싶어요,4,"2024-05-13 11:20:02.702865"
33,112,저한테 알맞은 강의를 제공해주셨어요,4,"2024-05-13 11:20:02.722824"
34,112,최고에요,5,"2024-05-13 11:20:02.740410"
43,117,어려웠는데 좋았어요,4,"2024-05-13 11:20:02.922134"
44,117,그냥 그랬어요.,3,"2024-05-13 11:20:02.943271"
45,118,그냥 그랬어요.,2,"2024-05-13 11:20:02.964443"
46,118,그냥 그랬어요.,3,"2024-05-13 11:20:02.983231"
47,119,너무 좋아요 최고에요 다시 듣고 싶어 엉엉,5,"2024-05-13 11:20:03.001052"
48,119,다음에도 다시 수강하고 싶네요 ^^,4,"2024-05-13 11:20:03.023092"
57,147,ㅎㅇ,5,"2024-05-14 12:35:07.453796"
58,100,고스키 다이스키,5,"2024-05-14 14:34:14.051022"
59,55,친절하세요^^,4,"2024-05-14 14:59:07.614283"
60,158,ㅎㅇ,5,"2024-05-14 15:14:03.039018"
61,150,처음인데 너무 친절하고 잘 가르쳐주세요,5,"2024-05-14 17:04:50.446530"
62,150,제가 들어본 강습 중 최고에요,5,"2024-05-14 17:04:50.462224"
63,176,별로에요,1,"2024-05-15 12:11:59.332484"
64,55,정말 좋은 강습이었어요. 훌륭해요,5,"2024-05-15 16:18:19.674082"
65,55,최고였어요. 리조트에 다시온다면 이 분한테 받을거에요,5,"2024-05-15 16:18:49.797883"
66,68,최고였어요. 리조트에 다시온다면 이 분한테 받을거에요,5,"2024-05-15 16:19:14.776427"
67,68,정말 좋은 강습이었어요. 훌륭해요,5,"2024-05-15 16:19:28.671399"
68,68,명강사에요,4,"2024-05-15 16:19:47.836302"
69,82,명강사에요,5,"2024-05-15 16:19:57.059570"
70,82,또 듣고 싶어요,5,"2024-05-15 16:20:31.744813"
71,85,또 듣고 싶어요,5,"2024-05-15 16:21:14.808703"
72,86,최고에요,5,"2024-05-15 16:21:44.263393"
73,86,좋은 강습이었어요,5,"2024-05-15 16:21:54.568869"
74,86,최고에요,5,"2024-05-15 16:22:10.738812"
75,87,제가 들어본 강습 중에 최고였어요,5,"2024-05-15 16:22:28.080989"
76,87,다시듣고싶어요,5,"2024-05-15 16:22:34.252162"
77,88,최고에요,5,"2024-05-15 16:22:44.482539"
78,88,강사 님이 친절해요,4,"2024-05-15 16:22:52.818147"
79,97,강사 님이 친절해요,4,"2024-05-15 16:22:58.509186"
80,97,최고의 강습이었어요,5,"2024-05-15 16:23:07.109706"
81,100,최고의 강습이었어요,5,"2024-05-15 16:23:13.163251"
82,100,이 리조트에 온다면 꼭 찾고 싶은 강사님,5,"2024-05-15 16:23:23.334870"
83,101,이 리조트에 온다면 꼭 찾고 싶은 강사님,5,"2024-05-15 16:23:28.210738"
