"settlement_id","user_id","settlement_amount","balance","settlement_date","payload","deposit_status"
10,14,160000,160000,"2024-05-08 09:21:17.007192",,0
11,14,160000,320000,"2024-05-08 12:30:54.529810",,0
12,14,160000,480000,"2024-05-08 12:52:07.031279",,0
13,14,160000,640000,"2024-05-15 14:00:00",,0
17,14,160000,800000,"2024-05-15 14:00:00",,0
26,14,48000,848000,"2024-05-08 13:54:36.757817",,0
35,14,170000,970000,"2024-05-13 14:00:00",,0
38,14,170000,970000,"2024-05-13 14:00:00",,0
39,14,170000,970000,"2024-05-13 14:00:00",,0
42,14,170000,970000,"2024-05-15 14:00:00",,0
43,14,48000,1018000,"2024-05-09 12:58:54.133987",,0
46,14,118999,1088999,"2024-05-09 13:26:07.458387",,0
47,14,112000,1082000,"2024-05-09 13:27:27.833842",,0
48,14,160000,1130000,"2024-05-09 12:00:00",,0
49,14,160000,1130000,"2024-05-10 12:00:00",,0
50,14,112000,1082000,"2024-05-09 17:34:24.235056",,0
51,14,960000,1930000,"2024-05-11 12:00:00",,0
52,14,160000,1130000,"2024-06-11 12:00:00",,0
53,14,160000,1290000,"2024-07-11 12:00:00",,0
54,14,60000,1350000,"2024-05-29 08:00:00",,0
55,14,120000,1410000,"2024-05-29 11:00:00",,0
57,14,140000,1430000,"2024-05-29 13:00:00",,0
58,14,120000,1410000,"2024-05-29 15:00:00",,0
59,14,130000,1420000,"2024-05-29 15:00:00",,0
60,14,60000,1350000,"2024-05-29 15:00:00",,0
61,14,120000,1410000,"2024-05-30 08:00:00",,0
62,14,60000,1350000,"2024-05-27 08:00:00",,0
63,14,140000,1430000,"2024-05-22 08:00:00",,0
64,14,0,1290000,"2024-05-13 16:23:26.746431",,0
65,14,60000,1350000,"2024-05-22 08:00:00",,0
66,14,140000,1430000,"2024-05-14 11:00:00",,0
67,14,120000,1410000,"2024-05-14 14:00:00",,0
68,14,50000,1340000,"2024-05-14 08:00:00",,0
69,14,70000,1360000,"2024-05-14 08:00:00",,0
70,14,118999,1408999,"2024-05-14 14:21:53.360625",,0
71,14,70000,1360000,"2024-05-15 08:00:00",,0
72,14,70000,1360000,"2024-05-15 13:00:00",,0
73,14,50000,1340000,"2024-05-16 13:00:00",,0
74,14,50000,1340000,"2024-05-17 14:00:00",,0
75,14,70000,1360000,"2024-05-18 10:00:00",,0
76,14,70000,1360000,"2024-05-19 09:00:00",,0
77,14,70000,1360000,"2024-05-21 09:00:00",,0
78,14,50000,1340000,"2024-05-22 10:00:00",,0
79,14,70000,1360000,"2024-05-24 12:00:00",,0
80,14,50000,1340000,"2024-05-25 10:00:00",,0
81,14,70000,1360000,"2024-05-26 09:00:00",,0
82,14,50000,1340000,"2024-05-27 10:00:00",,0
83,14,70000,1360000,"2024-05-23 16:00:00",,0
84,14,70000,1360000,"2024-05-26 08:00:00",,0
85,14,80000,1370000,"2024-05-15 10:00:00",,0
86,14,50000,1340000,"2024-05-15 08:00:00",,0
87,14,135000,1425000,"2024-05-16 08:00:00",,0
88,14,185000,1475000,"2024-05-16 08:00:00",,0
89,14,100000,1390000,"2024-06-03 08:00:00",,0
91,14,120000,1410000,"2024-05-16 08:00:00",,0
93,14,490000,1780000,"2024-05-17 14:00:00",,0
94,14,310000,1600000,"2024-05-31 19:00:00",,0
95,14,270000,1560000,"2024-05-30 08:00:00",,0
96,14,140000,1430000,"2024-05-17 12:30:00",,0
97,14,220000,1510000,"2024-05-17 08:00:00",,0
98,14,490000,1780000,"2024-05-16 14:00:00",,0
99,14,70000,1360000,"2024-05-20 08:00:00",,0
100,14,170000,1460000,"2024-05-27 08:00:00",,0
101,14,700000,1990000,"2024-05-27 08:00:00",,0
102,14,140000,1430000,"2024-05-17 08:00:00",,0
103,14,140000,1430000,"2024-05-17 08:00:00",,0
104,14,140000,1430000,"2024-05-17 08:00:00",,0
105,14,140000,1430000,"2024-05-17 08:00:00",,0
106,14,140000,1430000,"2024-05-17 08:00:00",,0
107,14,140000,1430000,"2024-05-17 08:00:00",,0
108,14,170000,1460000,"2024-05-18 08:00:00",,0
109,14,140000,1430000,"2024-05-18 12:00:00",,0
110,14,170000,1460000,"2024-05-31 08:00:00",,0
111,14,0,1290000,"2024-05-16 12:32:45.949922",,0
112,14,140000,1430000,"2024-05-31 08:00:00",,0
113,14,250000,1540000,"2024-05-30 08:00:00",,0
114,14,0,1290000,"2024-05-16 12:35:35.615261",,0
115,14,0,1290000,"2024-05-16 12:35:48.004598",,0
116,14,130000,1420000,"2024-05-31 08:00:00",,0
117,14,160000,1450000,"2024-05-31 08:00:00",,0
118,14,280000,1570000,"2024-05-23 11:30:00",,0
119,14,140000,1430000,"2024-05-31 08:00:00",,0
133,14,100000,1390000,"2024-05-18 08:00:00",,0
134,14,70000,1360000,"2024-05-16 12:46:11.870328",,0
135,14,120000,1410000,"2024-05-18 08:00:00",,0
136,14,140000,1430000,"2024-05-18 08:00:00",,0
137,14,50000,1340000,"2024-05-17 13:00:00",,0
138,14,140000,1430000,"2024-05-17 15:00:00",,0
