"tag_on_review_id","review_id","tag_review_id"
15,7,4
16,8,4
17,9,4
18,10,4
19,11,5
20,12,5
21,13,5
22,14,5
23,15,5
24,16,4
25,17,4
26,18,4
27,18,5
28,19,5
29,19,6
30,20,6
31,20,4
32,21,4
33,21,5
34,22,4
35,22,5
36,23,4
37,23,5
38,23,6
39,24,4
40,24,5
41,25,4
42,25,6
43,26,5
44,57,4
45,57,5
46,57,6
47,58,4
48,58,6
49,60,4
50,60,5
51,60,6
52,61,5
53,61,6
54,62,6
55,62,7
56,63,4
57,63,5
58,63,6
59,63,7
60,63,8
61,63,9
62,64,5
63,64,7
64,64,11
65,65,12
66,66,12
67,67,5
68,67,7
69,67,11
70,68,5
71,68,11
72,69,5
73,69,11
74,70,10
75,70,11
76,70,12
77,71,10
78,71,11
79,71,12
80,72,6
81,72,7
82,72,10
83,73,6
84,73,7
85,73,10
86,74,6
87,74,7
88,74,10
89,74,11
90,74,12
91,75,6
92,75,7
93,75,10
94,75,11
95,75,12
96,76,6
97,76,7
98,76,10
99,76,11
100,76,12
101,77,6
102,77,7
103,77,10
104,77,11
105,77,12
106,78,6
107,78,7
108,78,10
109,78,11
110,78,12
111,79,6
112,79,7
113,79,10
114,79,11
115,79,12
116,80,6
117,80,7
118,80,10
119,80,11
120,80,12
121,81,6
122,81,7
123,81,10
124,81,11
125,81,12
126,82,6
127,82,7
128,82,10
129,82,11
130,82,12
131,83,6
132,83,7
133,83,10
134,83,11
135,83,12
136,84,6
137,84,7
138,84,10
139,84,11
140,84,12
141,85,6
142,85,7
143,85,10
144,85,11
145,85,12
146,86,6
147,86,7
148,86,10
149,86,11
150,86,12
151,87,6
152,87,7
153,87,10
154,87,11
155,87,12
156,88,6
157,88,7
158,88,10
159,88,11
160,88,12
161,89,6
162,89,7
163,89,10
164,89,11
165,89,12
166,90,6
167,90,7
168,90,10
169,90,11
170,90,12
171,91,6
172,91,7
173,91,10
174,91,11
175,91,12
176,92,6
177,92,7
178,92,10
179,92,11
180,92,12
181,93,6
182,93,7
183,93,10
184,93,11
185,93,12
186,94,6
187,94,7
188,94,10
189,94,11
190,94,12
191,95,6
192,95,7
193,95,10
194,95,11
195,95,12
196,96,6
197,96,7
198,96,10
199,96,11
200,96,12
201,97,6
202,97,7
203,97,10
204,97,11
205,97,12
206,98,6
207,98,7
208,98,10
209,98,11
210,98,12
211,99,6
212,99,7
213,99,10
214,99,11
215,99,12
216,100,6
217,100,7
218,100,10
219,100,11
220,100,12
221,101,6
222,101,7
223,101,10
224,101,11
225,101,12
226,102,6
227,102,7
228,102,10
229,102,11
230,102,12
231,103,6
232,103,7
233,103,10
234,103,11
235,103,12
236,104,6
237,104,7
238,104,10
239,104,11
240,104,12
241,105,6
242,105,7
243,105,10
244,105,11
245,105,12
246,106,6
247,106,7
248,106,10
249,106,11
250,106,12
251,107,6
252,107,7
253,107,10
254,107,11
255,107,12
256,108,6
257,108,7
258,108,10
259,108,11
260,108,12
261,109,6
262,109,7
263,109,10
264,109,11
265,109,12
266,110,6
267,110,7
268,110,10
269,110,11
270,110,12
271,111,6
272,111,7
273,111,10
274,111,11
275,111,12
276,112,6
277,112,7
278,112,10
279,112,11
280,112,12
301,117,6
302,117,7
303,117,10
304,117,11
305,117,12
306,118,6
307,118,7
308,118,10
309,118,11
310,118,12
311,119,6
312,119,7
313,119,10
314,119,11
315,119,12
316,120,6
496,156,6
497,156,7
498,156,10
499,156,11
500,156,12
501,157,6
502,157,7
503,157,10
504,157,11
505,157,12
506,158,6
507,158,7
508,158,10
509,158,11
510,158,12
511,159,6
512,159,7
513,159,10
514,159,11
515,159,12
516,160,6
517,160,7
518,160,10
519,160,11
520,160,12
521,161,6
522,161,7
523,161,10
524,161,11
525,161,12
526,162,6
527,162,7
528,162,10
529,162,11
530,162,12
531,163,6
532,163,7
533,163,10
534,163,11
535,163,12
536,164,6
537,164,7
538,164,10
539,164,11
540,164,12
543,165,10
544,165,11
545,165,12
546,166,6
547,166,7
550,166,12
551,167,6
552,167,7
553,167,4
554,167,5
555,167,11
556,168,14
557,168,7
558,168,10
561,169,14
562,169,11
563,169,13
566,170,6
568,170,10
570,170,12
571,171,6
572,171,7
573,171,10
574,171,11
575,171,12
576,172,6
577,172,7
578,172,10
579,172,11
580,172,12
581,173,6
582,173,7
583,173,10
584,173,11
585,173,12
586,174,6
587,174,7
588,174,10
589,174,11
590,174,12
591,175,6
592,175,7
593,175,10
594,175,11
595,175,12
596,176,6
597,176,7
598,176,10
599,176,11
600,176,12
601,177,6
602,177,7
603,177,10
604,177,11
605,177,12
606,178,6
607,178,7
608,178,10
609,178,11
610,178,12
611,179,6
612,179,7
613,179,10
614,179,11
615,179,12
616,180,6
617,180,7
618,180,10
619,180,11
620,180,12
621,181,6
622,181,7
623,181,10
624,181,11
625,181,12
626,182,6
627,182,7
628,182,10
629,182,11
630,182,12
631,183,6
632,183,7
633,183,10
634,183,11
635,183,12
636,184,6
637,184,7
638,184,10
639,184,11
640,184,12
641,185,6
642,185,7
643,185,10
644,185,11
645,185,12
646,186,6
647,186,7
648,186,10
649,186,11
650,186,12
651,187,6
652,187,7
653,187,10
654,187,11
655,187,12
656,188,6
657,188,7
658,188,10
659,188,11
660,188,12
661,189,6
